,dumb,reduced,residual
2011-07-27 10:30:00,2.136799999999999,2.6568313917700244,2.394199999999998
2011-07-27 10:45:00,2.285699999999998,2.793914662330028,2.3880999999999983
2011-07-27 11:00:00,2.8346999999999962,3.313453763710031,2.0320999999999985
2011-07-27 11:15:00,1.9963999999999997,2.612653963470022,1.9996999999999978
2011-07-27 11:30:00,2.0854999999999984,2.6854804117200235,1.989799999999998
2011-07-27 11:45:00,1.9635999999999998,2.5926790362900216,1.991199999999998
2011-07-27 12:00:00,1.9378,2.5383636232900186,1.3831999999999998
2011-07-27 12:15:00,2.0013000000000005,2.5731635983800207,1.4320000000000002
2011-07-27 12:30:00,2.449799999999998,2.800079989660025,1.675
2011-07-27 12:45:00,3.069799999999999,3.272454389760023,2.0968
2011-07-27 13:00:00,2.6066,2.7506929496500216,2.1477
2011-07-27 13:15:00,2.6016999999999997,2.7531186018100207,2.139099999999999
2011-07-27 13:30:00,3.3865000000000007,3.3126609781200194,2.2279
2011-07-27 13:45:00,2.732600000000001,2.8159161440600187,2.1377999999999995
2011-07-27 14:00:00,2.648200000000001,2.6461761864100177,2.679399999999999
2011-07-27 14:15:00,2.8790999999999998,2.7318598723700176,2.6732999999999976
2011-07-27 14:30:00,2.936199999999998,2.745015520310015,2.6290999999999998
2011-07-27 14:45:00,2.5865,2.4659618878300127,2.627399999999998
2011-07-27 15:00:00,3.0655,2.841635029310013,4.785000000000007
2011-07-27 15:15:00,2.5518,2.4160064824200114,4.786000000000011
2011-07-27 15:30:00,2.7081999999999993,2.5513815571000107,4.795500000000008
2011-07-27 15:45:00,2.6491,2.627369873900011,4.77730000000001
2011-07-27 16:00:00,3.1353999999999997,2.951988238650011,3.3275000000000006
2011-07-27 16:15:00,3.108599999999999,2.85449399151001,3.3386
2011-07-27 16:30:00,3.3162999999999996,3.130371959350009,3.328300000000002
2011-07-27 16:45:00,3.244,3.0998649306500083,3.3426000000000013
2011-07-27 17:00:00,3.6747999999999994,3.5037942386300074,2.654599999999999
2011-07-27 17:15:00,3.1644000000000005,3.0811272738100066,2.423099999999999
2011-07-27 17:30:00,3.6948000000000008,3.5265097551600064,2.6866000000000003
2011-07-27 17:45:00,3.559700000000001,3.3857886994700053,2.6676
2011-07-27 18:00:00,3.6628000000000003,3.2176551511700047,2.3298999999999994
2011-07-27 18:15:00,3.5976,3.1583705824100043,2.3039
2011-07-27 18:30:00,3.2853999999999988,2.7902470130000037,2.0465
2011-07-27 18:45:00,3.0322999999999998,2.6239994372600037,1.9718000000000002
2011-07-27 19:00:00,3.4039000000000006,3.1135944195100036,2.1989
